U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-4.344827586206897,0.024779233195237893,-0.8145118543526141,-0.13344262869913753,2.896551724137931,0.24529218783695253,-14.236519590266987,0.37286045241654286,0.035748876847800926
-4.344827586206897,0.02016472236500788,-0.8206429341239405,-0.13511421679780494,3.1724137931034484,0.23809152364830805,-14.159180168135594,0.3604425297070755,0.029091544956899362
-4.344827586206897,0.016654788526784703,-0.825465210565533,-0.1364043399092826,3.4482758620689653,0.2320704415943131,-14.091613680898249,0.3494324416621085,0.02402778081464607
-4.344827586206897,0.014001694986749413,-0.829391267135094,-0.13742125347102865,3.7241379310344827,0.22740262482704984,-14.032036873016857,0.33999844845149896,0.020200175921423646
-4.344827586206897,0.011903482960269107,-0.8325494486441384,-0.13825515243308145,4.0,0.2240012213171117,-13.979059128793567,0.3323489119397903,0.017173095836086727
-3.9310344827586206,0.09143635392378635,0.21967570506221148,-0.07647613831019384,-4.0,0.1540290868761245,-52.30703915769031,0.1714839977423685,0.13191477436281396
-3.9310344827586206,0.006042962817719877,0.1722090780441728,-0.028871688661150613,-3.7241379310344827,0.16499118680714892,-49.5857908913327,0.20755470233497067,0.008718152489400222
-3.9310344827586206,0.005731787737596417,0.08904979744680844,0.05350740057034823,-3.4482758620689653,0.15529684975692956,-46.86111918634106,0.2178585536641613,0.00826922174445821
-3.9310344827586206,0.0071342084315613175,0.11111832042500279,0.03153388251687572,-3.1724137931034484,0.1722742790299921,-44.144129751195464,0.22941417871412248,0.01029248712488151
-3.9310344827586206,0.19541649692105367,0.13983544186842492,0.0037611957298303955,-2.896551724137931,0.30110571598464025,-41.43296766048031,0.27484123633527435,0.28192641101589766
-3.9310344827586206,0.007464641647138226,0.14067407598250714,0.002997929256094914,-2.6206896551724137,0.19120611974605484,-38.731773912859474,0.25829665162179655,0.01076920148633942
-3.9310344827586206,0.026323932321952626,0.1404903586346998,0.0034921626401458574,-2.3448275862068964,0.20721566678804473,-36.04196166375555,0.28299541244666454,0.03797740661757798
-3.9310344827586206,0.03750955202148143,0.14827311376510352,-0.002882643167009993,-2.0689655172413794,0.222584250383389,-33.368380403936364,0.30532369340080484,0.054114844687358055
-3.9310344827586206,0.016687276398659634,0.15352750446329777,-0.006293531391985159,-1.793103448275862,0.22745318045068788,-30.71600174358103,0.3170363818999286,0.024074650906289907
-3.9310344827586206,0.040819490432369765,0.15550799785787234,-0.005237436976712592,-1.5172413793103448,0.2563307617077858,-28.097810885567974,0.3642348190040269,0.058890076418394166
-3.9310344827586206,0.10281687636482828,0.15865314650478962,-0.003836121794316453,-1.2413793103448276,0.30851947609604224,-25.525890752586253,0.4075300125175461,0.1483333976512311
-3.9310344827586206,0.041823831463836614,0.16582278800268893,-0.0029491133507976225,-0.9655172413793104,0.3133335612402744,-23.01515184665559,0.4439874448403182,0.06033903424385256
-3.9310344827586206,0.13678561123279587,0.170723762484616,0.00028738696906030877,-0.6896551724137931,0.38777840652138595,-20.599101165769174,0.4976933819618362,0.1973399229905195
-3.9310344827586206,0.26568901979410264,0.20713220481103276,-0.009220224313321146,-0.41379310344827586,0.5839369656842938,-18.575772838852078,0.7121281971407635,0.38330823127560176
-3.9310344827586206,0.29464789818021075,0.0994756045216209,-0.0370842893890598,-0.13793103448275862,0.6769881424590654,-17.096010353245514,0.7689835078262633,0.4250870615129463
-3.9310344827586206,0.31122663957770746,-0.10008286227569974,-0.04504262060411872,0.13793103448275862,0.6751368874887274,-16.059446884208338,0.753599320554854,0.44900512951129556
-3.9310344827586206,0.2969397602399011,-0.28760947529783226,-0.055192776229993135,0.41379310344827586,0.6160822239187321,-15.309099675506642,0.7041424058272707,0.428393519540863
-3.9310344827586206,0.24941637449875853,-0.45625337055310383,-0.07111246482158441,0.6896551724137931,0.5351937499755988,-14.739420030364219,0.6463478817396745,0.35983176660586347
-3.9310344827586206,0.1872972342976802,-0.5847685150947723,-0.08796205432408115,0.9655172413793104,0.4539951589304164,-14.306304385264655,0.5895217930655968,0.27021279109348173
