U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-5.5,0.05985915049173651,0.400649695831006,0.06735130432563631,-1.0,0.3650471006365114,-18.466088811722447,0.4263717199789854,0.0863584995662543
-5.5,0.10972462359227508,0.38452212698287813,0.026556610179234198,-0.6666666666666666,0.4186653091802509,-16.749683275653332,0.4811214521667217,0.15829917031998297
-5.5,0.25358404438756876,0.28682365715033775,-0.022833045425342046,-0.3333333333333333,0.5494059787860259,-15.189682724277292,0.5762335050040758,0.365844443286512
-5.5,0.36570112704643765,-1.0928474058813364e-6,-0.050962037095296966,0.0,0.674095090925914,-14.080872028541883,0.6361822721017211,0.5275952024374
-5.5,0.33889192847944405,-0.2339101208856354,-0.07034680143073946,0.3333333333333333,0.6284903965019407,-13.401746422957649,0.6055459637677123,0.48891770461459094
-5.5,0.26646568090983,-0.4298104575063485,-0.09939758918151012,0.6666666666666666,0.5401798871780279,-12.920111299777279,0.5558711984892701,0.3844287164157132
-5.5,0.18342957463388276,-0.5669976954021019,-0.1277507902051545,1.0,0.4496184469144785,-12.579876079204851,0.507843307863391,0.2646329376766743
-5.5,0.12145747378646576,-0.6476817499538841,-0.1491989945326015,1.3333333333333333,0.38350935402306846,-12.340149829338202,0.4630530734450511,0.1752260951106357
-5.5,0.08161230786638773,-0.6941875056890673,-0.16364057487636882,1.6666666666666667,0.34083934436894314,-12.166418435361713,0.4274443877374294,0.1177416718343407
-5.5,0.05670749016849408,-0.7223000757695873,-0.17343088527141426,2.0,0.31340041496102566,-12.035420361254085,0.3995171048994361,0.08181161484734645
-5.5,0.04069935700225247,-0.7403371502723701,-0.18003218775502733,2.3333333333333335,0.2953819761640342,-11.933070374465961,0.3776447447289386,0.058716760514518906
-5.5,0.030252643551801794,-0.7524882275395772,-0.18456903635126945,2.6666666666666665,0.28224123222199626,-11.850538479942221,0.3592381125589703,0.04364533882596566
-5.5,0.023297851706020722,-0.7612262488367277,-0.18816872083924205,3.0,0.27673433994829794,-11.782793369213714,0.34668734390015704,0.03361169511964279
-5.5,0.0174065021183738,-0.7674896591279105,-0.19012373123511347,3.3333333333333335,0.2597548440032179,-11.725122661217046,0.32899410375942095,0.02511227428540108
-5.5,0.014552490334507118,-0.7725887016975523,-0.19265487210295698,3.6666666666666665,0.2640094751186931,-11.675230961523722,0.3215629369917959,0.02099480563817835
-5.5,0.010113924488478254,-0.7768766019737425,-0.19261204052106418,4.0,0.21775350466813553,-11.609894323864385,0.24413760797777434,0.014591308703452821
-5.0,0.2575547776824887,0.022122661832436608,-0.16413714647635497,-4.0,0.348064678522102,-34.44425308650601,0.24022251163657005,0.3715730005197857
-5.0,0.02693839401401732,0.390398026403627,0.17330725492452415,-3.6666666666666665,0.2407381580407074,-32.632126200895364,0.2674615565440204,0.03886388745353564
-5.0,0.005491467122537008,0.395218634443812,0.17307209616612979,-3.3333333333333335,0.2458287866056501,-30.68678294175101,0.27687515316009764,0.00792251238488939
-5.0,0.010428822085459366,0.39455974703372887,0.16673285661332565,-3.0,0.2547596696896305,-28.744018117270713,0.29575087898930935,0.015045609905005808
-5.0,0.01200569526329942,0.39509888205881155,0.15959349782374238,-2.6666666666666665,0.2641123184895396,-26.812088204299272,0.3107574777649993,0.017320557018785987
-5.0,0.013566138550333395,0.3961228179387061,0.1502712641646525,-2.3333333333333335,0.2757464859601595,-24.89468063037401,0.3274912894244244,0.019571800810578743
-5.0,0.018507745008916165,0.396924842029126,0.1372247628978756,-2.0,0.2916605047673194,-22.99672071644332,0.3491144330551576,0.02670103194240081
-5.0,0.025248420212560907,0.39802697362972717,0.11967639387412621,-1.6666666666666667,0.3120149625563361,-21.12515701773126,0.37408659715997716,0.0364257706309421
-5.0,0.037290057199565796,0.3982604745835852,0.09566591621404234,-1.3333333333333333,0.33900016971499736,-19.290131250422256,0.40503519294693047,0.05379818059627928
-5.0,0.060645015642183386,0.3943705870526909,0.06322245237910473,-1.0,0.3761735176389148,-17.506998456010624,0.4457042119989857,0.08749226332161131
-5.0,0.11247798523622277,0.3738136676504957,0.02085004686363701,-0.6666666666666666,0.43543581327803454,-15.804098447070675,0.5059301173519017,0.16227143150948065
-5.0,0.25163299466978506,0.26689843095501053,-0.029254880084052526,-0.3333333333333333,0.5714246587437604,-14.271725927665083,0.6023446354145003,0.3630296735341374
-5.0,0.34276449787679764,-2.0056152896907873e-6,-0.0560868476812776,0.0,0.6789755750460613,-13.180614393270151,0.6566426909644065,0.49450464127965166
-5.0,0.32230111191514976,-0.2243922936668906,-0.07457340436026912,0.3333333333333333,0.6361871676967227,-12.48826623086438,0.6252155645935755,0.4649822158329857
-5.0,0.25842754785120103,-0.4176149769091815,-0.10229379421598453,0.6666666666666666,0.551430247336475,-11.99199500761573,0.5738825171005887,0.372832141714023
