U,V,magnetization,charge_density
-5.755102040816326,0.8979591836734694,"0.1670043436911386, 0.10163517849448325, 0.4627209544894671, 0.10163517858866877, 0.16700434473624215","1.6332203169069357, 0.3286150374204718, 1.0763292926145223, 0.3286150381235773, 1.6332203149344933"
-5.755102040816326,1.0612244897959184,"0.16859633818394737, 0.085773595107136, 0.4912600925401073, 0.0857736009075751, 0.1685963732612341","1.6781235849979192, 0.2626734082599833, 1.1184060486719765, 0.2626734288275526, 1.6781235292425674"
-5.755102040816326,1.2244897959183674,"0.17040066247827423, 0.07225695446149419, 0.5146846837918202, 0.07225696061335182, 0.1704007386550609","1.7096584214562278, 0.21263384077985023, 1.1554155499012064, 0.2126338749808291, 1.7096583128818912"
-5.755102040816326,1.3877551020408163,"0.17244263964371032, 0.06098313251216533, 0.533148001741663, 0.06098317708433129, 0.1724430490181299","1.731590449857388, 0.17472685212769604, 1.1873657982537706, 0.17472699227508964, 1.7315899074860541"
-5.755102040816326,1.5510204081632653,"0.17467021262850912, 0.05167644055235733, 0.5473085023229776, 0.05167626157856646, 0.17466858291759058","1.7468551843841518, 0.14577617682234828, 1.214735718376018, 0.1457757124164616, 1.746857208001023"
-5.755102040816326,1.7142857142857142,"0.17699364401674722, 0.04401944811793739, 0.5579617750607435, 0.044020168162860585, 0.17700496464171167","1.7575559456330738, 0.1233774845655563, 1.2381446593353513, 0.12337975644978211, 1.757542154016238"
-5.755102040816326,1.8775510204081634,"0.17933941170347956, 0.03771599919913608, 0.5658566902122348, 0.0377175590450725, 0.17937033984007777","1.7651182215169916, 0.10579477405711397, 1.2582037655837843, 0.10579974649104502, 1.765083492351069"
-5.755102040816326,2.0408163265306123,"0.18157024451021875, 0.03250698107489494, 0.571628571797092, 0.03251356962743312, 0.18178063299036207","1.7706002060952357, 0.09177697053745405, 1.2754590636148233, 0.09180185128162907, 1.7703619084708584"
-5.755102040816326,2.204081632653061,"0.1837055782170679, 0.028185377971925375, 0.5757847121969035, 0.028197028234583685, 0.1841273033795202","1.7745786378148978, 0.08044926114113701, 1.2903722670638933, 0.08049170162466998, 1.7741081323554035"
-5.755102040816326,2.36734693877551,"0.1855200810376464, 0.024575344449188324, 0.5787163890484348, 0.02459694926886458, 0.18659123619586615","1.7777158097337526, 0.07115666677565341, 1.3033354337917067, 0.07124602183175938, 1.7765460678671297"
-5.755102040816326,2.5306122448979593,"0.18602252010906728, 0.021526517904439834, 0.5807054203582354, 0.021589503721322918, 0.1901560379069347","1.7813708793876952, 0.06336115437832895, 1.3146891697737717, 0.06367254290311399, 1.7769062535570923"
-5.755102040816326,2.693877551020408,"0.18944833237279524, 0.019005680953945808, 0.5820600870042576, 0.01901916702250135, 0.19046673264649994","1.7811702846558939, 0.05704193867583393, 1.3245975582602394, 0.05710660687206141, 1.7800836115359704"
-5.755102040816326,2.857142857142857,"0.1912815917000057, 0.016841423139214322, 0.5828774594034165, 0.016853343756024326, 0.1921461820013397","1.7821571282661328, 0.0515933240078108, 1.333367547365805, 0.05164133068281671, 1.7812406696774363"
-5.755102040816326,3.020408163265306,"0.20580915527528065, 0.015258071193439075, 0.5840265076129506, 0.014788437934906674, 0.18011782798342313","1.7692531591770058, 0.047612990595868813, 1.3403972959837054, 0.046426724131512366, 1.7963098301119067"
-5.755102040816326,3.183673469387755,"0.1901644918155373, 0.013348939337333674, 0.583285199985291, 0.013441944257244431, 0.19975942460459384","1.7879652260735885, 0.04270139276900156, 1.348261723639906, 0.043145416297269056, 1.7779262412202366"
-5.755102040816326,3.3469387755102042,"0.17482051690975253, 0.011784689020340681, 0.5814171368641772, 0.01220613458869497, 0.21977152261703436","1.8060836721721374, 0.03830840451411052, 1.3563575262796945, 0.04050691416944323, 1.7587434828646145"
-5.755102040816326,3.510204081632653,"0.19242542947668317, 0.010785541709105265, 0.5828692257399588, 0.01097107287168942, 0.2029487302025631","1.7890178967213648, 0.03621707380611311, 1.3601134717294958, 0.036556156996501915, 1.778095400746523"
-5.755102040816326,3.673469387755102,"0.16822050446404246, 0.00948803369944067, 0.5775222875192527, 0.009952974756519382, 0.23481619956074495","1.8155245535847917, 0.032549334071826856, 1.3705023583588758, 0.0345497661157529, 1.7468739878687527"
-5.755102040816326,3.836734693877551,"0.18666523127692747, 0.008834285068024219, 0.5815986628924863, 0.009008495525850702, 0.21389332523671178","1.7976128820113908, 0.030862696116563944, 1.3702753475583997, 0.03166504474240705, 1.7695840295712397"
-5.755102040816326,4.0,"0.1957692728574103, 0.00808678095751123, 0.581772372870567, 0.008123155417480066, 0.20624841789703174","1.789324366449743, 0.029025494505332365, 1.373763788311827, 0.029317485465251522, 1.778568865267847"
-5.510204081632653,-4.0,"0.010213632368572643, 0.47707014781531765, 0.03192815115907499, 0.46691681802960505, 0.013871250627429527","0.022456493829818625, 1.4802198619090934, 1.966876510863566, 1.5011566557263227, 0.029290477671197912"
-5.510204081632653,-3.836734693877551,"0.010189064295619447, 0.4733127659587427, 0.03290474091682505, 0.47342928087925784, 0.010164147949555134","0.022674552059400065, 1.4943298017432878, 1.9662182646743946, 1.4941481416561793, 0.022629239866740446"
-5.510204081632653,-3.673469387755102,"0.010923598511879476, 0.4712100287930555, 0.03562614438172873, 0.47133768569006396, 0.010902542623272261","0.023921506189516203, 1.4944859032917548, 1.963417024768017, 1.494294872271375, 0.02388069347933791"
-5.510204081632653,-3.510204081632653,"0.01147077318882677, 0.46981910714896147, 0.03861609801185095, 0.46835925371200815, 0.01173476793835272","0.02479954696666234, 1.493683903757245, 1.9603612536236756, 1.4958610844191806, 0.025294211233237926"
-5.510204081632653,-3.3469387755102042,"0.013147188765451685, 0.4653251817689449, 0.04214160212951612, 0.46715095929034567, 0.01223506804574178","0.02768767124062621, 1.496962130652462, 1.9567105617473808, 1.4926431189304985, 0.025996517429033104"
-5.510204081632653,-3.183673469387755,"0.013759619044997937, 0.4632300139002461, 0.04601277980825247, 0.463244592088187, 0.013752995158316498","0.028558840763435844, 1.4951095720394632, 1.9527065011530405, 1.495078656132451, 0.02854642991160937"
